permno,prc,ticker,comnam,ym
84398,137.0200042724609,SPY,SPDR TRUST,2001m1
84788,.865625,AMZN,AMAZON COM INC,2001m1
86868,113.75,GS,GOLDMAN SACHS GROUP INC,2001m1
84398,123.9499969482422,SPY,SPDR TRUST,2001m2
84788,.509375,AMZN,AMAZON COM INC,2001m2
86868,91.75,GS,GOLDMAN SACHS GROUP INC,2001m2
84398,116.6900024414063,SPY,SPDR TRUST,2001m3
84788,.5114999771118164,AMZN,AMAZON COM INC,2001m3
86868,85.09999847412109,GS,GOLDMAN SACHS GROUP INC,2001m3
84398,124.9100036621094,SPY,SPDR TRUST,2001m4
84788,.7889999866485595,AMZN,AMAZON COM INC,2001m4
86868,91.09999847412109,GS,GOLDMAN SACHS GROUP INC,2001m4
84398,125.9499969482422,SPY,SPDR TRUST,2001m5
84788,.8345000267028808,AMZN,AMAZON COM INC,2001m5
86868,95.09999847412109,GS,GOLDMAN SACHS GROUP INC,2001m5
84398,122.5999984741211,SPY,SPDR TRUST,2001m6
84788,.7074999809265137,AMZN,AMAZON COM INC,2001m6
86868,85.80000305175781,GS,GOLDMAN SACHS GROUP INC,2001m6
84398,121.3499984741211,SPY,SPDR TRUST,2001m7
84788,.6244999885559082,AMZN,AMAZON COM INC,2001m7
86868,83.16000366210938,GS,GOLDMAN SACHS GROUP INC,2001m7
84398,114.1500015258789,SPY,SPDR TRUST,2001m8
84788,.4469999790191651,AMZN,AMAZON COM INC,2001m8
86868,80.09999847412109,GS,GOLDMAN SACHS GROUP INC,2001m8
84398,104.4400024414063,SPY,SPDR TRUST,2001m9
84788,.2984999895095825,AMZN,AMAZON COM INC,2001m9
86868,71.34999847412109,GS,GOLDMAN SACHS GROUP INC,2001m9
84398,105.8000030517578,SPY,SPDR TRUST,2001m10
84788,.3490000009536743,AMZN,AMAZON COM INC,2001m10
86868,78.16000366210938,GS,GOLDMAN SACHS GROUP INC,2001m10
84398,114.0500030517578,SPY,SPDR TRUST,2001m11
84788,.5659999847412109,AMZN,AMAZON COM INC,2001m11
86868,89,GS,GOLDMAN SACHS GROUP INC,2001m11
84398,114.3000030517578,SPY,SPDR TRUST,2001m12
84788,.5409999847412109,AMZN,AMAZON COM INC,2001m12
86868,92.75,GS,GOLDMAN SACHS GROUP INC,2001m12
84398,113.1800003051758,SPY,SPDR TRUST,2002m1
84788,.7094999790191651,AMZN,AMAZON COM INC,2002m1
86868,86.98000335693359,GS,GOLDMAN SACHS GROUP INC,2002m1
84398,111.1500015258789,SPY,SPDR TRUST,2002m2
84788,.7050000190734863,AMZN,AMAZON COM INC,2002m2
86868,80.94000244140625,GS,GOLDMAN SACHS GROUP INC,2002m2
84398,114.5199966430664,SPY,SPDR TRUST,2002m3
84788,.7150000095367431,AMZN,AMAZON COM INC,2002m3
86868,90.25,GS,GOLDMAN SACHS GROUP INC,2002m3
84398,107.8600006103516,SPY,SPDR TRUST,2002m4
84788,.8345000267028808,AMZN,AMAZON COM INC,2002m4
86868,78.75,GS,GOLDMAN SACHS GROUP INC,2002m4
84398,107.2200012207031,SPY,SPDR TRUST,2002m5
84788,.9114999771118164,AMZN,AMAZON COM INC,2002m5
86868,75.44999694824219,GS,GOLDMAN SACHS GROUP INC,2002m5
84398,98.95999908447266,SPY,SPDR TRUST,2002m6
84788,.8125,AMZN,AMAZON COM INC,2002m6
86868,73.34999847412109,GS,GOLDMAN SACHS GROUP INC,2002m6
84398,91.16000366210938,SPY,SPDR TRUST,2002m7
84788,.7229499816894531,AMZN,AMAZON COM INC,2002m7
86868,73.15000152587891,GS,GOLDMAN SACHS GROUP INC,2002m7
84398,91.77999877929688,SPY,SPDR TRUST,2002m8
84788,.746999979019165,AMZN,AMAZON COM INC,2002m8
86868,77.30000305175781,GS,GOLDMAN SACHS GROUP INC,2002m8
84398,81.79000091552734,SPY,SPDR TRUST,2002m9
84788,.7965000152587891,AMZN,AMAZON COM INC,2002m9
86868,66.02999877929688,GS,GOLDMAN SACHS GROUP INC,2002m9
84398,88.51999664306641,SPY,SPDR TRUST,2002m10
84788,.9680000305175781,AMZN,AMAZON COM INC,2002m10
86868,71.59999847412109,GS,GOLDMAN SACHS GROUP INC,2002m10
84398,93.98000335693359,SPY,SPDR TRUST,2002m11
84788,1.167500019073486,AMZN,AMAZON COM INC,2002m11
86868,78.87000274658203,GS,GOLDMAN SACHS GROUP INC,2002m11
84398,88.23000335693359,SPY,SPDR TRUST,2002m12
84788,.9444999694824219,AMZN,AMAZON COM INC,2002m12
86868,68.09999847412109,GS,GOLDMAN SACHS GROUP INC,2002m12
84398,86.05999755859375,SPY,SPDR TRUST,2003m1
84788,1.092500019073486,AMZN,AMAZON COM INC,2003m1
86868,68.09999847412109,GS,GOLDMAN SACHS GROUP INC,2003m1
84398,84.90000152587891,SPY,SPDR TRUST,2003m2
84788,1.100500011444092,AMZN,AMAZON COM INC,2003m2
86868,69.44999694824219,GS,GOLDMAN SACHS GROUP INC,2003m2
84398,84.73999786376953,SPY,SPDR TRUST,2003m3
